id,value
mycollection,1
mycollection.mycollection_2018-01-14_22_00,
mycollection.mycollection_2018-01-14_22_00.shard1_0,
mycollection.mycollection_2018-01-14_22_00.shard1_1,
mycollection.mycollection_2018-01-14_22_00.shard2_0,
mycollection.mycollection_2018-01-14_22_00.shard2_1,
mycollection.mycollection_2018-01-14_22_30,
mycollection.mycollection_2018-01-14_22_30.shard1_0,
mycollection.mycollection_2018-01-14_22_30.shard1_1,
mycollection.mycollection_2018-01-14_22_30.shard2_0,
mycollection.mycollection_2018-01-14_22_30.shard2_1,
mycollection.mycollection_2018-01-14_23_00,
mycollection.mycollection_2018-01-14_23_00.shard1_0,
mycollection.mycollection_2018-01-14_23_00.shard1_1,
mycollection.mycollection_2018-01-14_23_00.shard2_0,
mycollection.mycollection_2018-01-14_23_00.shard2_1,
mycollection.mycollection_2018-01-14_23_30,
mycollection.mycollection_2018-01-14_23_30.shard1_0,
mycollection.mycollection_2018-01-14_23_30.shard1_1,
mycollection.mycollection_2018-01-14_23_30.shard2_0,
mycollection.mycollection_2018-01-14_23_30.shard2_1,
mycollection.mycollection_2018-01-15_00_00,
mycollection.mycollection_2018-01-15_00_00.shard1_0,
mycollection.mycollection_2018-01-15_00_00.shard1_1,
mycollection.mycollection_2018-01-15_00_00.shard2_0,
mycollection.mycollection_2018-01-15_00_00.shard2_1,
mycollection.mycollection_2018-01-15_01_00,
mycollection.mycollection_2018-01-15_01_00.shard1_0,
mycollection.mycollection_2018-01-15_01_00.shard1_1,
mycollection.mycollection_2018-01-15_01_00.shard2_0,
mycollection.mycollection_2018-01-15_01_00.shard2_1,
